Variable	Type	Description	Workflow
contig number	Int	The number of contigs in the assembly_fasta (see description for `assembly_fasta`)	TheiaMeta_Illumina_PE
contigs_fastg	File	Assembly graph if megahit used for genome assembly	TheiaEuk_Illumina_PE, TheiaProk_Illumina_PE, TheiaEuk_ONT
contigs_gfa	File	Assembly graph output generated by SPAdes (Illumina: PE, SE) or Flye (ONT), used to visualize and evaluate genome assembly results.	TheiaEuk_Illumina_PE, TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE
contigs_lastgraph	File	Assembly graph if velvet used for genome assembly	TheiaEuk_Illumina_PE, TheiaProk_Illumina_PE
core_gene_snp_wf_analysis_date	String	Date of analysis using Core_Gene_SNP workflow	Core_Gene_SNP
core_gene_snp_wf_version	String	Version of PHBG used for analysis	Core_Gene_SNP
czgenepi_prep_analysis_date	String	The date the workflow was run	CZGenEpi_Prep
czgenepi_prep_version	String	The version of PHB the workflow is in	CZGenEpi_Prep
datatable	File	Sample-level data table TSV file that was used to update the original sample-level data table in the last step of the TheiaCoV_FASTA_Batch workflow.	TheiaCoV_FASTA_Batch
distance_tree	File	The distance tree created in Newick (.nwk) format	Augur
dnaapler_version	String	Version of dnaapler used	TheiaProk_ONT, TheiaEuk_ONT
dorado_basecall_docker	String	Docker image used in the `dorado_basecall` task	Dorado_Basecalling
dorado_basecall_version	String	Version of Dorado used in the `dorado_basecall` task	Dorado_Basecalling
dorado_basecalling_analysis_date	String	Date of Dorado analysis	Dorado_Basecalling
dorado_basecalling_phb_version	String	Version of PHB used for the analysis	Dorado_Basecalling
dorado_demux_version	String	Version of Dorado used in the `dorado_demux` task	Dorado_Basecalling
dorado_model_used	String	Model used for basecalling	Dorado_Basecalling
dorado_trim_version	String	Version of Dorado used in the `dorado_trim` task	Dorado_Basecalling
ectyper_predicted_serotype	String	Serotype predicted by ECTyper	TheiaProk_FASTA, TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE
ectyper_results	File	TSV file of evidence for ECTyper predicted serotype (see <https://github.com/phac-nml/ecoli_serotyping#report-format>)	TheiaProk_FASTA, TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE
ectyper_version	String	Version of ECTyper used	TheiaProk_FASTA, TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE
emmtypingtool_docker	String	Docker image for emm-typing-tool	TheiaProk_Illumina_PE
emmtypingtool_emm_type	String	emm-type predicted	TheiaProk_Illumina_PE
emmtypingtool_results_xml	File	XML file with emm-typing-tool resuls	TheiaProk_Illumina_PE
emmtypingtool_version	String	Version of emm-typing-tool used	TheiaProk_Illumina_PE
est_coverage_clean	Float	Estimated coverage calculated from clean reads and genome length	TheiaCoV_ONT, TheiaEuk_Illumina_PE, TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE, TheiaEuk_ONT
est_coverage_raw	Float	Estimated coverage calculated from raw reads and genome length	TheiaCoV_ONT, TheiaEuk_Illumina_PE, TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE, TheiaEuk_ONT
est_percent_gene_coverage_tsv	File	Percent coverage for each gene in the organism being analyzed (depending on the organism input)	TheiaCoV_ClearLabs, TheiaCoV_ONT, TheiaCoV_Illumina_PE, TheiaCoV_Illumina_SE
excluded_samples	File	A file that contains the names and reasons why a sample was excluded from submission. **For SARS-CoV-2**, there are two sections: First, a section for any samples that failed to meet pre-determined quality thresholds (`number_N` and `vadr_num_alert`). Second, a section that includes a table that describes any missing required metadata for each sample. This table has the sample name for rows and any columns that have missing metadata as headers. If a sample is missing a piece of required metadata, the corresponding cell will be blank. However, if a different sample does have metadata for that column, the associated value will appear in the corresponding cell. **For flu and mpox**, only the second section described above exists. _Please see the example below for more details_.	Mercury_Prep_N_Batch
excluded_samples	File	Text file listing samples that were excluded from BioSample submission for missing required metadata	Terra_2_NCBI
failed_uploads	Boolean	The metadata for any failed uploads	Terra_2_GISAID
fastp_html_report	File	The HTML report made with fastp	Freyja (Illumina paired-end), Freyja (Illumina single-end), TheiaCoV_Illumina_PE, TheiaCoV_Illumina_SE, TheiaMeta_Illumina_PE, TheiaEuk_Illumina_PE, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE, TheiaViral_Illumina_PE
fastp_version	String	The version of fastp used	Freyja (Illumina paired-end), Freyja (Illumina single-end), TheiaCoV_Illumina_PE, TheiaCoV_Illumina_SE, TheiaMeta_Illumina_PE, TheiaEuk_Illumina_PE, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE, TheiaViral_Illumina_PE
fastq_dl_date	String	The date of the read data download	SRA_Fetch
fastq_dl_docker	String	The docker used	SRA_Fetch
fastq_dl_metadata	File	File containing metadata of the provided accession such as submission_accession, library_selection, instrument_platform, among others	SRA_Fetch
fastq_dl_version	String	The version of fastq-dl used	SRA_Fetch
fastq_dl_warning	String	This warning field is populated if SRA-Lite files are detected. These files contain all quality encoding as Phred-30 or Phred-3.	SRA_Fetch
fastq_files	Array[File]	FASTQ files produced from basecalling and demultiplexing	Dorado_Basecalling
fastq_scan_clean1_json	File	The JSON file output from `fastq-scan` containing summary stats about clean forward read quality and length	Freyja (Illumina paired-end), Freyja (Illumina single-end), TheiaCoV_Illumina_PE, TheiaCoV_Illumina_SE, TheiaMeta_Illumina_PE, TheiaEuk_Illumina_PE, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE, TheiaViral_Illumina_PE, TheiaCoV_ClearLabs
fastq_scan_clean2_json	File	The JSON file output from `fastq-scan` containing summary stats about clean reverse read quality and length	Freyja (Illumina paired-end), TheiaCoV_Illumina_PE, TheiaMeta_Illumina_PE, TheiaEuk_Illumina_PE, TheiaProk_Illumina_PE, TheiaViral_Illumina_PE
fastq_scan_docker	String	The Docker image of fastq_scan	TheiaMeta_Illumina_PE, TheiaViral_Illumina_PE
fastq_scan_num_reads_clean_pairs	String	The number of read pairs after cleaning as calculated by fastq_scan	Freyja (Illumina paired-end), TheiaCoV_Illumina_PE, TheiaMeta_Illumina_PE, TheiaEuk_Illumina_PE, TheiaProk_Illumina_PE
fastq_scan_num_reads_clean1	Int	The number of forward reads after cleaning as calculated by fastq_scan	Freyja (Illumina paired-end), Freyja (Illumina single-end), TheiaCoV_Illumina_PE, TheiaCoV_Illumina_SE, TheiaMeta_Illumina_PE, TheiaEuk_Illumina_PE, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE, TheiaViral_Illumina_PE, TheiaCoV_ClearLabs
fastq_scan_num_reads_clean2	Int	The number of reverse reads after cleaning as calculated by fastq_scan	Freyja (Illumina paired-end), TheiaCoV_Illumina_PE, TheiaMeta_Illumina_PE, TheiaEuk_Illumina_PE, TheiaProk_Illumina_PE, TheiaViral_Illumina_PE
fastq_scan_num_reads_raw_pairs	String	The number of input read pairs as calculated by fastq_scan	Freyja (Illumina paired-end), TheiaCoV_Illumina_PE, TheiaMeta_Illumina_PE, TheiaEuk_Illumina_PE, TheiaProk_Illumina_PE
fastq_scan_num_reads_raw1	Int	The number of input forward reads as calculated by fastq_scan	Freyja (Illumina paired-end), Freyja (Illumina single-end), TheiaCoV_Illumina_PE, TheiaCoV_Illumina_SE, TheiaMeta_Illumina_PE, TheiaEuk_Illumina_PE, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE, TheiaViral_Illumina_PE, TheiaCoV_ClearLabs
fastq_scan_num_reads_raw2	Int	The number of input reserve reads as calculated by fastq_scan	Freyja (Illumina paired-end), TheiaCoV_Illumina_PE, TheiaMeta_Illumina_PE, TheiaEuk_Illumina_PE, TheiaProk_Illumina_PE, TheiaViral_Illumina_PE
fastq_scan_raw1_json	File	The JSON file output from `fastq-scan` containing summary stats about raw forward read quality and length	Freyja (Illumina paired-end), Freyja (Illumina single-end), TheiaCoV_Illumina_PE, TheiaCoV_Illumina_SE, TheiaMeta_Illumina_PE, TheiaEuk_Illumina_PE, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE, TheiaViral_Illumina_PE, TheiaCoV_ClearLabs
fastq_scan_raw2_json	File	The JSON file output from `fastq-scan` containing summary stats about raw reverse read quality and length	Freyja (Illumina paired-end), TheiaCoV_Illumina_PE, TheiaMeta_Illumina_PE, TheiaEuk_Illumina_PE, TheiaProk_Illumina_PE, TheiaViral_Illumina_PE
fastq_scan_version	String	The version of fastq_scan	Freyja (Illumina paired-end), Freyja (Illumina single-end), TheiaCoV_Illumina_PE, TheiaCoV_Illumina_SE, TheiaMeta_Illumina_PE, TheiaEuk_Illumina_PE, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE, TheiaViral_Illumina_PE, TheiaCoV_ClearLabs
fastqc_clean1_html	File	An HTML file that provides a graphical visualization of clean forward read quality from fastqc to open in an internet browser	Freyja (Illumina paired-end), Freyja (Illumina single-end), TheiaCoV_Illumina_PE, TheiaCoV_Illumina_SE, TheiaMeta_Illumina_PE, TheiaEuk_Illumina_PE, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE
fastqc_clean2_html	File	An HTML file that provides a graphical visualization of clean reverse read quality from fastqc to open in an internet browser	Freyja (Illumina paired-end), TheiaCoV_Illumina_PE, TheiaMeta_Illumina_PE, TheiaEuk_Illumina_PE, TheiaProk_Illumina_PE
fastqc_docker	String	The Docker container used for fastqc	Freyja (Illumina paired-end), Freyja (Illumina single-end), TheiaCoV_Illumina_PE, TheiaCoV_Illumina_SE, TheiaMeta_Illumina_PE, TheiaEuk_Illumina_PE, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE
fastqc_num_reads_clean_pairs	String	The number of read pairs after cleaning by fastqc	Freyja (Illumina paired-end), TheiaCoV_Illumina_PE, TheiaMeta_Illumina_PE, TheiaEuk_Illumina_PE, TheiaProk_Illumina_PE
fastqc_num_reads_clean1	Int	The number of forward reads after cleaning by fastqc	Freyja (Illumina paired-end), Freyja (Illumina single-end), TheiaCoV_Illumina_PE, TheiaCoV_Illumina_SE, TheiaMeta_Illumina_PE, TheiaEuk_Illumina_PE, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE
fastqc_num_reads_clean2	Int	The number of reverse reads after cleaning by fastqc	Freyja (Illumina paired-end), TheiaCoV_Illumina_PE, TheiaMeta_Illumina_PE, TheiaEuk_Illumina_PE, TheiaProk_Illumina_PE
fastqc_num_reads_raw_pairs	String	The number of input read pairs by fastqc before cleaning	Freyja (Illumina paired-end), TheiaCoV_Illumina_PE, TheiaMeta_Illumina_PE, TheiaEuk_Illumina_PE, TheiaProk_Illumina_PE
fastqc_num_reads_raw1	Int	The number of input forward reads by fastqc before cleaning	Freyja (Illumina paired-end), Freyja (Illumina single-end), TheiaCoV_Illumina_PE, TheiaCoV_Illumina_SE, TheiaMeta_Illumina_PE, TheiaEuk_Illumina_PE, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE
fastqc_num_reads_raw2	Int	The number of input reverse reads by fastqc before cleaning	Freyja (Illumina paired-end), TheiaCoV_Illumina_PE, TheiaMeta_Illumina_PE, TheiaEuk_Illumina_PE, TheiaProk_Illumina_PE
fastqc_raw1_html	File	An HTML file that provides a graphical visualization of raw forward read quality from fastqc to open in an internet browser	Freyja (Illumina paired-end), Freyja (Illumina single-end), TheiaCoV_Illumina_PE, TheiaCoV_Illumina_SE, TheiaMeta_Illumina_PE, TheiaEuk_Illumina_PE, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE
fastqc_raw2_html	File	An HTML file that provides a graphical visualization of raw reverse read quality from fastqc to open in an internet browser	Freyja (Illumina paired-end), TheiaCoV_Illumina_PE, TheiaMeta_Illumina_PE, TheiaEuk_Illumina_PE, TheiaProk_Illumina_PE
fastqc_version	String	Version of fastqc software used	Freyja (Illumina paired-end), Freyja (Illumina single-end), TheiaCoV_Illumina_PE, TheiaCoV_Illumina_SE, TheiaMeta_Illumina_PE, TheiaEuk_Illumina_PE, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE
fetch_srr_accession_analysis_date	String	The date the fetch_srr_accession analysis was run.	Fetch_SRR_Accession
fetch_srr_accession_version	String	The version of the fetch_srr_accession workflow.	Fetch_SRR_Accession
filtered_contigs_metrics	File	File containing metrics of contigs filtered	TheiaEuk_Illumina_PE, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE, TheiaEuk_ONT
flu_A_315675_resistance	String	resistance mutations to A_315675	TheiaCoV_ONT, TheiaCoV_Illumina_PE, TheiaCoV_FASTA
flu_amantadine_resistance	String	resistance mutations to amantadine	TheiaCoV_ONT, TheiaCoV_Illumina_PE, TheiaCoV_FASTA
flu_compound_367_resistance	String	resistance mutations to compound_367	TheiaCoV_ONT, TheiaCoV_Illumina_PE, TheiaCoV_FASTA
flu_favipiravir_resistance	String	resistance mutations to favipiravir	TheiaCoV_ONT, TheiaCoV_Illumina_PE, TheiaCoV_FASTA
flu_fludase_resistance	String	resistance mutations to fludase	TheiaCoV_ONT, TheiaCoV_Illumina_PE, TheiaCoV_FASTA
flu_L_742_001_resistance	String	resistance mutations to L_742_001	TheiaCoV_ONT, TheiaCoV_Illumina_PE, TheiaCoV_FASTA
flu_laninamivir_resistance	String	resistance mutations to laninamivir	TheiaCoV_ONT, TheiaCoV_Illumina_PE, TheiaCoV_FASTA
flu_oseltamivir_resistance	String	resistance mutations to oseltamivir (Tamiflu®)	TheiaCoV_ONT, TheiaCoV_Illumina_PE, TheiaCoV_FASTA
flu_peramivir_resistance	String	resistance mutations to peramivir (Rapivab®)	TheiaCoV_ONT, TheiaCoV_Illumina_PE, TheiaCoV_FASTA
flu_pimodivir_resistance	String	resistance mutations to pimodivir	TheiaCoV_ONT, TheiaCoV_Illumina_PE, TheiaCoV_FASTA
flu_rimantadine_resistance	String	resistance mutations to rimantadine	TheiaCoV_ONT, TheiaCoV_Illumina_PE, TheiaCoV_FASTA
flu_xofluza_resistance	String	resistance mutations to xofluza (Baloxavir marboxil)	TheiaCoV_ONT, TheiaCoV_Illumina_PE, TheiaCoV_FASTA
flu_zanamivir_resistance	String	resistance mutations to zanamivir (Relenza®)	TheiaCoV_ONT, TheiaCoV_Illumina_PE, TheiaCoV_FASTA
flye_version	String	Version of Flye software used	TheiaProk_ONT
freyja_abundances	String	Abundances estimates identified by Freyja and parsed from freyja_demixed file	Freyja (ONT), Freyja (Illumina paired-end), Freyja (Illumina single-end)
freyja_barcode_version	String	Name of barcode file used, or the date if update_db is true	Freyja (ONT), Freyja (Illumina paired-end), Freyja (Illumina single-end)
freyja_bootstrap_lineages	File	A CSV that contains the 0.025, 0.05, 0.25, 0.5 (median), 0.75, 0.95, and 0.975 percentiles for each lineage	Freyja (ONT), Freyja (Illumina paired-end), Freyja (Illumina single-end)
freyja_bootstrap_lineages_pdf	File	A boxplot of the bootstrap lineages CSV file	Freyja (ONT), Freyja (Illumina paired-end), Freyja (Illumina single-end)
freyja_bootstrap_summary	File	A CSV that contains the 0.025, 0.05, 0.25, 0.5 (median), 0.75, 0.95, and 0.975 percentiles for each WHO designated VOI/VOC	Freyja (ONT), Freyja (Illumina paired-end), Freyja (Illumina single-end)
freyja_bootstrap_summary_pdf	File	A boxplot of the bootstrap summary CSV file	Freyja (ONT), Freyja (Illumina paired-end), Freyja (Illumina single-end)
freyja_coverage	Float	Coverage identified by Freyja and parsed from freyja_demixed file	Freyja (ONT), Freyja (Illumina paired-end), Freyja (Illumina single-end)
freyja_dashboard	File	The HTML file of the dashboard created	Freyja_Dashboard
freyja_dashboard_metadata	File	The metadata used to create the dashboard	Freyja_Dashboard
freyja_dashboard_version	String	The version of Freyja used	Freyja_Dashboard
freyja_dashboard_wf_analysis_date	String	The date of analysis	Freyja_Dashboard
freyja_dashboard_wf_version	String	The version of the Public Health Bioinformatics (PHB) repository used	Freyja_Dashboard
freyja_demixed	File	The main output TSV; see the section directly above this table for an explanation	Freyja (ONT), Freyja (Illumina paired-end), Freyja (Illumina single-end)
freyja_demixed_aggregate	File	A TSV file that summarizes the `freyja_demixed` outputs for all samples	Freyja_Dashboard, Freyja_Plot
freyja_demixed_parsed	File	Parsed freyja_demixed file, containing the same information, for easy result concatenation	Freyja (ONT), Freyja (Illumina paired-end), Freyja (Illumina single-end)
freyja_depths	File	A TSV listing the depth of every position	Freyja (ONT), Freyja (Illumina paired-end), Freyja (Illumina single-end)
freyja_fastq_wf_analysis_date	String	Date of analysis	Freyja (ONT), Freyja (Illumina paired-end), Freyja (Illumina single-end)
freyja_fastq_wf_version	String	The version of the Public Health Bioinformatics (PHB) repository used	Freyja (ONT), Freyja (Illumina paired-end), Freyja (Illumina single-end)
freyja_lineages	String	Lineages in descending order identified by Freyja and parsed from freyja_demixed file	Freyja (ONT), Freyja (Illumina paired-end), Freyja (Illumina single-end)
freyja_metadata_version	String	Name of lineage metadata file used, or the date if update_db is true	Freyja (ONT), Freyja (Illumina paired-end), Freyja (Illumina single-end)
freyja_plot	File	A PDF of the plot produced by the workflow	Freyja_Plot
freyja_plot_metadata	File	The metadata used to create the plot	Freyja_Plot
freyja_plot_version	String	The version of Freyja used	Freyja_Plot
freyja_plot_wf_analysis_date	String	The date of analysis	Freyja_Plot
freyja_plot_wf_version	String	The version of the Public Health Bioinformatics (PHB) repository used	Freyja_Plot
freyja_resid	String	Residual of the weighted least absolute deviation problem used to estimate lineage abundances identified by Freyja and parsed from freyja_demixed file	Freyja (ONT), Freyja (Illumina paired-end), Freyja (Illumina single-end)
freyja_sc2_barcode_file	File	Barcode feather file used for SARS-CoV-2. Can be the one provided as input or downloaded by Freyja if update_db is true	Freyja (ONT), Freyja (Illumina paired-end), Freyja (Illumina single-end)
freyja_sc2_lineage_metadata_file	File	Lineage metadata JSON file used for SARS-CoV-2. Can be the one provided as input or downloaded by Freyja if update_db is true	Freyja (ONT), Freyja (Illumina paired-end), Freyja (Illumina single-end)
freyja_summarized	String	Sum of all lineage abundances in a particular WHO designation identified by Freyja and parsed from freyja_demixed file	Freyja (ONT), Freyja (Illumina paired-end), Freyja (Illumina single-end)
freyja_variants	File	The TSV file containing the variants identified by Freyja	Freyja (ONT), Freyja (Illumina paired-end), Freyja (Illumina single-end)
freyja_version	String	version of Freyja used	Freyja (ONT), Freyja (Illumina paired-end), Freyja (Illumina single-end)
gamma_results	File	The .gamma file reporting gene matches	TheiaProk_FASTA, TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE
gamma_gff	File	The GFF file reporting gene matches if boolean was set to true	TheiaProk_FASTA, TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE
gamma_fasta	File	The FASTA file reporting gene matches if boolean was set to true	TheiaProk_FASTA, TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE
gamma_docker	String	The Docker container used	TheiaProk_FASTA, TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE
gamma_version	String	The version of GAMMA used	TheiaProk_FASTA, TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE
gambit_closest_genomes	File	CSV file listing genomes in the GAMBIT database that are most similar to the query assembly	Gambit_Query, TheiaEuk_Illumina_PE, TheiaProk_FASTA, TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE, TheiaEuk_ONT
gambit_db_version	String	Version of the GAMBIT database used	Gambit_Query, TheiaEuk_Illumina_PE, TheiaProk_FASTA, TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE, TheiaEuk_ONT
gambit_docker	String	GAMBIT Docker used	Gambit_Query, TheiaEuk_Illumina_PE, TheiaProk_FASTA, TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE, TheiaEuk_ONT
gambit_predicted_taxon	String	Taxon predicted by GAMBIT	Gambit_Query, TheiaEuk_Illumina_PE, TheiaProk_FASTA, TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE, TheiaEuk_ONT
gambit_predicted_taxon_rank	String	Taxon rank of GAMBIT taxon prediction	Gambit_Query, TheiaEuk_Illumina_PE, TheiaProk_FASTA, TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE, TheiaEuk_ONT
gambit_query_wf_analysis_date	String	Date of analysis	Gambit_Query
gambit_query_wf_version	String	PHB repository version	Gambit_Query
gambit_report	File	GAMBIT report in a machine-readable format	Gambit_Query, TheiaEuk_Illumina_PE, TheiaProk_FASTA, TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE, TheiaEuk_ONT
gambit_version	String	Version of GAMBIT software used	Gambit_Query, TheiaEuk_Illumina_PE, TheiaProk_FASTA, TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE, TheiaEuk_ONT
genbank_fasta	File	**Only for SARS-CoV-2 submission**: GenBank fasta file for upload	Mercury_Prep_N_Batch
genbank_metadata	File	**Only for SARS-CoV-2 submission**: GenBank metadata for upload	Mercury_Prep_N_Batch
generated_accessions	File	Text file mapping the BioSample accession with its sample name.	Terra_2_NCBI
genoflu_all_segments	String	The genotypes for each individual flu segment	TheiaCoV_FASTA, TheiaCoV_ONT, TheiaCoV_Illumina_PE, TheiaViral_Illumina_PE, TheiaViral_ONT
genoflu_genotype	String	The genotype of the whole genome, based off of the individual segments types	TheiaCoV_FASTA, TheiaCoV_ONT, TheiaCoV_Illumina_PE, TheiaViral_Illumina_PE, TheiaViral_ONT
genoflu_output_tsv	File	The output file from GenoFLU	TheiaCoV_FASTA, TheiaCoV_ONT, TheiaCoV_Illumina_PE, TheiaViral_Illumina_PE, TheiaViral_ONT
genoflu_version	String	The version of GenoFLU used	TheiaCoV_FASTA, TheiaCoV_ONT, TheiaCoV_Illumina_PE, TheiaViral_Illumina_PE, TheiaViral_ONT
genotyphi_final_genotype	String	Final genotype call from GenoTyphi	TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE
genotyphi_genotype_confidence	String	Confidence in the final genotype call made by GenoTyphi	TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE
genotyphi_mykrobe_json	File	JSON file of GenoTyphi output, described <https://github.com/katholt/genotyphi#explanation-of-columns-in-the-output>	TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE
genotyphi_report_tsv	File	TSV file of GenoTyphi output, described <https://github.com/katholt/genotyphi#explanation-of-columns-in-the-output>	TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE
genotyphi_species	String	Species call from Mykrobe, used to run GenoTyphi	TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE
genotyphi_st_probes_percent_coverage	Float	Percentage coverage to the Typhi MLST probes	TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE
genotyphi_version	String	Version of GenoTyphi used	TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE
gisaid_cli_version	String	The verison of the GISAID CLI tool	Terra_2_GISAID
gisaid_fasta	File	**Only for mpox and SARS-CoV-2 submission**: GISAID fasta file for upload	Mercury_Prep_N_Batch
gisaid_logs	File	The log files regarding the submission	Terra_2_GISAID
gisaid_metadata	File	**Only for mpox and SARS-CoV-2 submission**: GISAID metadata for upload	Mercury_Prep_N_Batch
hicap_docker	String	Docker image used for hicap	TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE
hicap_genes	String	cap genes identified. genes on different contigs delimited by;. truncation shown by trailing *	TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE
hicap_results_tsv	File	TSV file of hicap output	TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE
hicap_serotype	String	hicap serotype	TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE
hicap_version	String	hicap version used	TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE
irma_assembly_fasta_concatenated	File	Assembly FASTA file of all Influenza genome segments concatenated into one sequence/FASTA entry	TheiaCoV_ONT, TheiaCoV_Illumina_PE
irma_docker	String	Docker image used to run IRMA	TheiaCoV_ONT, TheiaCoV_Illumina_PE, TheiaViral_Illumina_PE, TheiaViral_ONT
irma_ha_segment_fasta	File	HA (Haemagglutinin) assembly fasta file	TheiaCoV_ONT, TheiaCoV_Illumina_PE
irma_min_consensus_support_threshold	Int	Minimum consensus support threshold used by IRMA with ONT data. For illumina data, see output called `consensus_n_variant_min_depth` for this value	TheiaCoV_ONT
irma_mp_segment_fasta	File	MP (Matrix Protein) assembly fasta file	TheiaCoV_ONT, TheiaCoV_Illumina_PE
irma_na_segment_fasta	File	NA (Neuraminidase) assembly fasta file	TheiaCoV_ONT, TheiaCoV_Illumina_PE
irma_np_segment_fasta	File	NP (Nucleoprotein) assembly fasta file	TheiaCoV_ONT, TheiaCoV_Illumina_PE
irma_ns_segment_fasta	File	NS (Nonstructural) assembly fasta file	TheiaCoV_ONT, TheiaCoV_Illumina_PE
irma_pa_segment_fasta	File	PA (Polymerase acidic) assembly fasta file	TheiaCoV_ONT, TheiaCoV_Illumina_PE
irma_pb1_segment_fasta	File	PB1 (Polymerase basic 1) assembly fasta file	TheiaCoV_ONT, TheiaCoV_Illumina_PE
irma_pb2_segment_fasta	File	PB2 (Polymerase basic 2) assembly fasta file	TheiaCoV_ONT, TheiaCoV_Illumina_PE
irma_subtype	String	Flu subtype as determined by IRMA	TheiaCoV_ONT, TheiaCoV_Illumina_PE, TheiaViral_Illumina_PE, TheiaViral_ONT
irma_subtype_notes	String	Helpful note to user about Flu B subtypes. Output will be blank for Flu A samples. For Flu B samples it will state: "IRMA does not differentiate Victoria and Yamagata Flu B lineages. See abricate_flu_subtype output column"	TheiaCoV_ONT, TheiaCoV_Illumina_PE, TheiaViral_Illumina_PE, TheiaViral_ONT
irma_type	String	Flu type as determined by IRMA	TheiaCoV_ONT, TheiaCoV_Illumina_PE, TheiaViral_Illumina_PE, TheiaViral_ONT
irma_version	String	Version of IRMA used	TheiaCoV_ONT, TheiaCoV_Illumina_PE, TheiaViral_Illumina_PE, TheiaViral_ONT
ivar_tsv	File	Variant descriptor file generated by iVar variants	TheiaCoV_Illumina_PE, TheiaCoV_Illumina_SE, TheiaViral_Illumina_PE
ivar_variant_proportion_intermediate	String	The proportion of variants of intermediate frequency	TheiaCoV_Illumina_PE, TheiaCoV_Illumina_SE, TheiaViral_Illumina_PE
ivar_variant_version	String	Version of iVar for running the iVar variants command	TheiaCoV_Illumina_PE, TheiaCoV_Illumina_SE, TheiaViral_Illumina_PE
ivar_vcf	File	iVar tsv output converted to VCF format	TheiaCoV_Illumina_PE, TheiaCoV_Illumina_SE, TheiaViral_Illumina_PE
ivar_version_consensus	String	Version of iVar for running the iVar consensus command	TheiaCoV_Illumina_PE, TheiaCoV_Illumina_SE, TheiaViral_Illumina_PE
ivar_version_primtrim	String	Version of iVar for running the iVar trim command	Freyja (ONT), Freyja (Illumina paired-end), Freyja (Illumina single-end), TheiaCoV_Illumina_PE, TheiaCoV_Illumina_SE
kaptive_k_locus	String	Best matching K locus identified by Kaptive	TheiaProk_FASTA, TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE
kaptive_k_type	String	Best matching K type identified by Kaptive	TheiaProk_FASTA, TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE
kaptive_kl_confidence	String	Kaptive’s confidence in the KL match (see <https://github.com/katholt/Kaptive/wiki/Interpreting-the-results>)	TheiaProk_FASTA, TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE
kaptive_oc_locus	String	Best matching K locus identified by Kaptive	TheiaProk_FASTA, TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE
