Terra Task Name	Variable	Type	Description	Default Value	Terra Status	Workflow	Classification
cg_snp_dists	cpu	Int	Number of CPUs to allocate to the task	1	Optional	Snippy_Tree	runtime
cg_snp_dists	disk_size	Int	Amount of storage (in GB) to allocate to the task	50	Optional	Snippy_Tree	runtime
cg_snp_dists	memory	Int	Amount of memory/RAM (in GB) to allocate to the task	2	Optional	Snippy_Tree	runtime
checkv_consensus	checkv_db	File	CheckV database file	gs://theiagen-public-resources-rp/reference_data/databases/checkv/checkv-db-v1.5.tar.gz	Optional	TheiaViral_Illumina_PE, TheiaViral_ONT	database
checkv_consensus	cpu	Int	Number of CPUs to allocate to the task	2	Optional	TheiaViral_Illumina_PE, TheiaViral_ONT	runtime
checkv_consensus	disk_size	Int	Amount of storage (in GB) to allocate to the task	100	Optional	TheiaViral_Illumina_PE, TheiaViral_ONT	runtime
checkv_consensus	docker	String	The Docker container to use for the task	us-docker.pkg.dev/general-theiagen/staphb/checkv:1.0.3	Optional	TheiaViral_Illumina_PE, TheiaViral_ONT	docker
checkv_consensus	memory	Int	Amount of memory/RAM (in GB) to allocate to the task	8	Optional	TheiaViral_Illumina_PE, TheiaViral_ONT	runtime
checkv_denovo	checkv_db	File	CheckV database file	gs://theiagen-public-resources-rp/reference_data/databases/checkv/checkv-db-v1.5.tar.gz	Optional	TheiaViral_Illumina_PE, TheiaViral_ONT	database
checkv_denovo	cpu	Int	Number of CPUs to allocate to the task	2	Optional	TheiaViral_Illumina_PE, TheiaViral_ONT	runtime
checkv_denovo	disk_size	Int	Amount of storage (in GB) to allocate to the task	100	Optional	TheiaViral_Illumina_PE, TheiaViral_ONT	runtime
checkv_denovo	docker	String	The Docker container to use for the task	us-docker.pkg.dev/general-theiagen/staphb/checkv:1.0.3	Optional	TheiaViral_Illumina_PE, TheiaViral_ONT	docker
checkv_denovo	memory	Int	Amount of memory/RAM (in GB) to allocate to the task	8	Optional	TheiaViral_Illumina_PE, TheiaViral_ONT	runtime
chunk_files	cpu	Int	Number of CPUs to allocate to the task	1	Optional	Dorado_Basecalling	runtime
chunk_files	disk_size	Int	Amount of storage (in GB) to allocate to the task	25	Optional	Dorado_Basecalling	runtime
chunk_files	docker	String	The Docker container to use for the task	us-docker.pkg.dev/general-theiagen/theiagen/utility:1.1	Optional	Dorado_Basecalling	docker
chunk_files	memory	Int	Amount of memory/RAM (in GB) to allocate to the task	2	Optional	Dorado_Basecalling	runtime
cladetyper	cpu	Int	Number of CPUs to allocate to the task	8	Optional	Cauris_CladeTyper	runtime
cladetyper	disk_size	Int	Amount of storage (in GB) to allocate to the task	100	Optional	Cauris_CladeTyper	runtime
cladetyper	docker	String	The Docker container to use for the task	us-docker.pkg.dev/general-theiagen/staphb/gambit:1.0.0	Optional	Cauris_CladeTyper	docker
cladetyper	kmer_size	Int	The kmer size to use for generating the GAMBIT signatures file; see GAMBIT documentation for more details	11	Optional	Cauris_CladeTyper	general
cladetyper	max_distance	Float	The maximum GAMBIT distance to report a clade hit	0.1	Optional	Cauris_CladeTyper	general
cladetyper	memory	Int	Amount of memory/RAM (in GB) to allocate to the task	16	Optional	Cauris_CladeTyper	runtime
cladetyper	ref_clade1	File	The reference assembly for clade 1	gs://theiagen-public-resources-rp/reference_data/eukaryotic/candidozyma/Cauris_Clade1_GCA_002759435.3_Cand_auris_B8441_V3_genomic.fasta	Optional	Cauris_CladeTyper	reference
cladetyper	ref_clade1_annotated	String	The path to the annotated reference for clade 1	gs://theiagen-public-resources-rp/reference_data/eukaryotic/candidozyma/Cauris_Clade1_GCA_002759435.3_Cand_auris_B8441_V3_genomic.gbff	Optional	Cauris_CladeTyper	reference
cladetyper	ref_clade2	File	The reference assembly for clade 2	gs://theiagen-public-resources-rp/reference_data/eukaryotic/candidozyma/Cauris_Clade2_GCA_003013715.2_ASM301371v2_genomic.fasta	Optional	Cauris_CladeTyper	reference
cladetyper	ref_clade2_annotated	String	The path to the annotated reference for clade 2	gs://theiagen-public-resources-rp/reference_data/eukaryotic/candidozyma/Cauris_Clade2_GCA_003013715.2_ASM301371v2_genomic.gbff	Optional	Cauris_CladeTyper	reference
cladetyper	ref_clade3	File	The reference assembly for clade 3	gs://theiagen-public-resources-rp/reference_data/eukaryotic/candidozyma/Cauris_Clade3_GCF_002775015.1_Cand_auris_B11221_V1_genomic.fasta	Optional	Cauris_CladeTyper	reference
cladetyper	ref_clade3_annotated	String	The path to the annotated reference for clade 3	gs://theiagen-public-resources-rp/reference_data/eukaryotic/candidozyma/Cauris_Clade3_GCF_002775015.1_Cand_auris_B11221_V1_genomic.gbff	Optional	Cauris_CladeTyper	reference
cladetyper	ref_clade4	File	The reference assembly for clade 4	gs://theiagen-public-resources-rp/reference_data/eukaryotic/candidozyma/Cauris_Clade4_GCA_003014415.1_Cand_auris_B11243_genomic.fasta	Optional	Cauris_CladeTyper	reference
cladetyper	ref_clade4_annotated	String	The path to the annotated reference for clade 4	gs://theiagen-public-resources-rp/reference_data/eukaryotic/candidozyma/Cauris_Clade4_GCA_003014415.1_Cand_auris_B11243_genomic.gbff	Optional	Cauris_CladeTyper	reference
cladetyper	ref_clade5	File	The reference assembly for clade 5	gs://theiagen-public-resources-rp/reference_data/eukaryotic/candidozyma/Cauris_Clade5_GCA_016809505.1_ASM1680950v1_genomic.fasta	Optional	Cauris_CladeTyper	reference
cladetyper	ref_clade5_annotated	String	The path to the annotated reference for clade 5	gs://theiagen-public-resources-rp/reference_data/eukaryotic/candidozyma/Cauris_Clade5_GCA_016809505.1_ASM1680950v1_genomic.gbff	Optional	Cauris_CladeTyper	reference
cladetyper	ref_clade6	File	The reference assembly for clade 6	gs://theiagen-public-resources-rp/reference_data/eukaryotic/candidozyma/Cauris_Clade6_GCA_032714025.1_ASM3271402v1_genomic.fasta	Optional	Cauris_CladeTyper	reference
cladetyper	ref_clade6_annotated	String	The path to the annotated reference for clade 6		Optional	Cauris_CladeTyper	general
clair3	clair3_model	String	Model to be used by Clair3	r1041_e82_400bps_sup_v500	Optional	TheiaViral_ONT	general
clair3	cpu	Int	Number of CPUs to allocate to the task	4	Optional	TheiaViral_ONT	runtime
clair3	disable_phasing	Boolean	True/False that determines if variants should be called without whatshap phasing in full alignment calling	TRUE	Optional	TheiaViral_ONT	general
clair3	disk_size	Int	Amount of storage (in GB) to allocate to the task	100	Optional	TheiaViral_ONT	runtime
clair3	docker	String	The Docker container to use for the task	us-docker.pkg.dev/general-theiagen/theiagen/clair3-extra-models:1.0.10	Optional	TheiaViral_ONT	docker
clair3	enable_gvcf	Boolean	True/False that determines if an additional GVCF output should generated	FALSE	Optional	TheiaViral_ONT	general
clair3	enable_haploid_precise	Boolean	True/False that determines haploid calling mode where only 1/1 is considered as a variant	TRUE	Optional	TheiaViral_ONT	general
clair3	include_all_contigs	Boolean	True/False that determines if all contigs should be included in the output	TRUE	Optional	TheiaViral_ONT	general
clair3	indel_min_af	Float	Minimum Indel AF required for a candidate variant	0.08	Optional	TheiaViral_ONT	general
clair3	memory	Int	Amount of memory/RAM (in GB) to allocate to the task	8	Optional	TheiaViral_ONT	runtime
clair3	snp_min_af	Float	Minimum SNP allele frequency required for a candidate variant. Lowering the value might increase a bit of sensitivity in trade of speed and accuracy	0.08	Optional	TheiaViral_ONT	general
clair3	variant_quality	Int	If set, variants with >$qual will be marked PASS, or LowQual otherwise	2	Optional	TheiaViral_ONT	general
clair3_variants	indel_min_af	Float	Minimum Indel AF required for a candidate variant		Optional	Clair3_Variants_ONT	general
clair3_variants	snp_min_af	Float	Minimum SNP AF required for a candidate variant		Optional	Clair3_Variants_ONT	general
clair3_variants_ont	clair3_cpu	Int	Number of CPUs to allocate to the task	4	Optional	Clair3_Variants_ONT	runtime
clair3_variants_ont	clair3_disable_phasing	Boolean	Disable whatshap phasing	TRUE	Optional	Clair3_Variants_ONT	general
clair3_variants_ont	clair3_disk_size	Int	Amount of storage (in GB) to allocate to the task	100	Optional	Clair3_Variants_ONT	runtime
clair3_variants_ont	clair3_docker	String	The Docker container to use for the task	us-docker.pkg.dev/general-theiagen/staphb/clair3:1.0.10	Optional	Clair3_Variants_ONT	docker
clair3_variants_ont	clair3_enable_gvcf	Boolean	Output gVCF format	FALSE	Optional	Clair3_Variants_ONT	general
clair3_variants_ont	clair3_enable_haploid_precise	Boolean	Enable haploid precise calling, only 1/1 is considered as a variant	TRUE	Optional	Clair3_Variants_ONT	general
clair3_variants_ont	clair3_enable_long_indel	Boolean	Enable long indel calling	FALSE	Optional	Clair3_Variants_ONT	general
clair3_variants_ont	clair3_include_all_contigs	Boolean	Call variants on all contigs, should always be true for non-human samples	TRUE	Optional	Clair3_Variants_ONT	general
clair3_variants_ont	clair3_memory	Int	Amount of memory/RAM (in GB) to allocate to the task	8	Optional	Clair3_Variants_ONT	runtime
clair3_variants_ont	clair3_model	String	Model name for variant calling (see supported models for available options)	r1041_e82_400bps_sup_v500	Optional	Clair3_Variants_ONT	general
clair3_variants_ont	clair3_variant_quality	Int	Minimum variant quality score	2	Optional	Clair3_Variants_ONT	general
clean_check_reads	cpu	Int	Number of CPUs to allocate to the task	1	Optional	TheiaCoV_ONT, TheiaCoV_Illumina_PE, TheiaCoV_Illumina_SE, TheiaEuk_Illumina_PE, TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE, TheiaViral_Illumina_PE, TheiaViral_ONT, TheiaEuk_ONT	runtime
clean_check_reads	disk_size	Int	Amount of storage (in GB) to allocate to the task	100	Optional	TheiaCoV_ONT, TheiaCoV_Illumina_PE, TheiaCoV_Illumina_SE, TheiaEuk_Illumina_PE, TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE, TheiaViral_Illumina_PE, TheiaViral_ONT, TheiaEuk_ONT	runtime
clean_check_reads	docker	String	The Docker container to use for the task	us-docker.pkg.dev/general-theiagen/bactopia/gather_samples:2.0.2	Optional	TheiaCoV_ONT, TheiaCoV_Illumina_PE, TheiaCoV_Illumina_SE, TheiaEuk_Illumina_PE, TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE, TheiaViral_Illumina_PE, TheiaViral_ONT, TheiaEuk_ONT	docker
clean_check_reads	max_genome_length	Int	Maximum genome length able to pass read screening	2673870	Optional	TheiaViral_Illumina_PE, TheiaViral_ONT	general
clean_check_reads	memory	Int	Amount of memory/RAM (in GB) to allocate to the task	2	Optional	TheiaCoV_ONT, TheiaCoV_Illumina_PE, TheiaCoV_Illumina_SE, TheiaEuk_Illumina_PE, TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE, TheiaViral_Illumina_PE, TheiaViral_ONT, TheiaEuk_ONT	runtime
clean_check_reads	min_basepairs	Int	Minimum base pairs to pass read screening	15000	Optional	TheiaViral_Illumina_PE, TheiaViral_ONT	general
clean_check_reads	min_coverage	Int	Minimum coverage to pass read screening	10	Optional	TheiaViral_Illumina_PE, TheiaViral_ONT	general
clean_check_reads	min_genome_length	Int	Minimum genome length to pass read screening	1500	Optional	TheiaViral_Illumina_PE, TheiaViral_ONT	general
clean_check_reads	min_proportion	Int	Minimum read proportion to pass read screening	40	Optional	TheiaViral_Illumina_PE	general
clean_check_reads	min_reads	Int	Minimum reads to pass read screening	50	Optional	TheiaViral_Illumina_PE, TheiaViral_ONT	general
clean_check_reads	workflow_series	String	Internal component, do not modify	theiaviral	Optional	TheiaEuk_ONT	general
compare_two_tsvs	cpu	Int	Number of CPUs to allocate to the task	2	Optional	TheiaValidate	runtime
compare_two_tsvs	debug_output	Boolean	Set to true to enable more outputs; useful when debugging	FALSE	Optional	TheiaValidate	general
compare_two_tsvs	disk_size	Int	Amount of storage (in GB) to allocate to the task	10	Optional	TheiaValidate	runtime
compare_two_tsvs	docker	String	The Docker container to use for the task	us-docker.pkg.dev/general-theiagen/theiagen/theiavalidate:1.1.2	Optional	TheiaValidate	docker
compare_two_tsvs	memory	Int	Amount of memory/RAM (in GB) to allocate to the task	4	Optional	TheiaValidate	runtime
compare_two_tsvs	na_values	String	If the user knows a particular value in either table that they would like to be considered N/A, they can indicate those values in a comma-separated list here. Any changes here will overwrite the default and not append to the default list. Do not include whitespace.	-1.#IND,1.#QNAN,1.#IND,-1.#QNAN,#N/A,N/A,n/a,,#NA,NULL,null,NaN,-NaN,nan,-nan,None	Optional	TheiaValidate	general
concatenate_illumina_lanes	read1_lane3	File	The third lane for the forward reads		Optional	Concatenate_Illumina_Lanes	general
concatenate_illumina_lanes	read1_lane4	File	The fourth lane for the forward reads		Optional	Concatenate_Illumina_Lanes	general
concatenate_illumina_lanes	read2_lane1	File	Internal component, do not modify		Optional	TheiaProk_Illumina_SE	general
concatenate_illumina_lanes	read2_lane1	File	The first lane for the reverse reads		Optional	Concatenate_Illumina_Lanes	general
concatenate_illumina_lanes	read2_lane2	File	Internal component, do not modify		Optional	TheiaProk_Illumina_SE	general
concatenate_illumina_lanes	read2_lane2	File	The second lane for the reverse reads		Optional	Concatenate_Illumina_Lanes	general
concatenate_illumina_lanes	read2_lane3	File	Internal component, do not modify		Optional	TheiaProk_Illumina_SE	general
concatenate_illumina_lanes	read2_lane3	File	The third lane for the reverse reads		Optional	Concatenate_Illumina_Lanes	general
concatenate_illumina_lanes	read2_lane4	File	Internal component, do not modify		Optional	TheiaProk_Illumina_SE	general
concatenate_illumina_lanes	read2_lane4	File	The fourth lane for the reverse reads		Optional	Concatenate_Illumina_Lanes	general
concatenate_qc_metrics	cpu	Int	Number of CPUs to allocate to the task	2	Optional	Snippy_Tree	runtime
concatenate_qc_metrics	disk_size	Int	Amount of storage (in GB) to allocate to the task	100	Optional	Snippy_Tree	runtime
concatenate_qc_metrics	docker_image	String	The Docker container to use for the task	us-docker.pkg.dev/general-theiagen/theiagen/utility:1.1	Optional	Snippy_Tree	docker
concatenate_qc_metrics	memory	Int	Amount of memory/RAM (in GB) to allocate to the task	8	Optional	Snippy_Tree	runtime
concatenate_variants	docker_image	String	The Docker container to use for the task	us-docker.pkg.dev/general-theiagen/theiagen/utility:1.1	Optional	Snippy_Tree	docker
consensus	char_unknown	String	Character used to represent unknown bases in the consensus sequence	N	Optional	TheiaViral_Illumina_PE	general
consensus	count_orphans	Boolean	True/False that determines if anomalous read pairs are NOT skipped in variant calling. Anomalous read pairs are those marked in the FLAG field as paired in sequencing but without the properly-paired flag set.	TRUE	Optional	TheiaViral_Illumina_PE	general
consensus	cpu	Int	Number of CPUs to allocate to the task	8	Optional	TheiaCoV_ClearLabs, TheiaCoV_ONT, TheiaViral_Illumina_PE	runtime
consensus	cpu	Int	Number of CPUs to allocate to the task	2	Optional	TheiaViral_Illumina_PE	runtime
consensus	disable_baq	Boolean	True/False that determines if base alignment quality (BAQ) computation should be disabled during samtools mpileup before consensus generation	TRUE	Optional	TheiaViral_Illumina_PE	general
consensus	disk_size	Int	Amount of storage (in GB) to allocate to the task	100	Optional	TheiaCoV_ClearLabs, TheiaCoV_ONT, TheiaViral_Illumina_PE	runtime
consensus	docker	String	The Docker container to use for the task	us-docker.pkg.dev/general-theiagen/staphb/artic-ncov2019-epi2me	Optional	TheiaCoV_ONT	docker
consensus	docker	String	The Docker container to use for the task	us-docker.pkg.dev/general-theiagen/staphb/ivar:1.3.1-titan	Optional	TheiaViral_Illumina_PE	docker
consensus	max_depth	Int	For a given position, read at maximum INT number of reads per input file during samtools mpileup before consensus generation	600000	Optional	TheiaViral_Illumina_PE	general
consensus	medaka_model	String	In order to obtain the best results, the appropriate model must be set to match the sequencer's basecaller model; this string takes the format of {pore}{device}{caller variant}_{caller_version}. See also <https://github.com/nanoporetech/medaka?tab=readme-ov-file#models>.	r941_min_high_g360	Optional	TheiaCoV_ClearLabs, TheiaCoV_ONT	general
consensus	memory	Int	Amount of memory/RAM (in GB) to allocate to the task	16	Optional	TheiaCoV_ClearLabs, TheiaCoV_ONT, TheiaViral_Illumina_PE	runtime
consensus	memory	Int	Amount of memory/RAM (in GB) to allocate to the task	8	Optional	TheiaViral_Illumina_PE	runtime
consensus	min_bq	Int	Minimum base quality required for a base to be considered during samtools mpileup before consensus generation	0	Optional	TheiaViral_Illumina_PE	general
consensus	skip_N	Boolean	True/False that determines if "N" bases should be skipped in the consensus sequence	FALSE	Optional	TheiaViral_Illumina_PE	general
consensus_qc	cpu	Int	Number of CPUs to allocate to the task	1	Optional	TheiaCoV_ClearLabs, TheiaCoV_FASTA, TheiaCoV_ONT, TheiaCoV_Illumina_PE, TheiaCoV_Illumina_SE, TheiaViral_Illumina_PE, TheiaViral_ONT, VADR_Update	runtime
consensus_qc	disk_size	Int	Amount of storage (in GB) to allocate to the task	100	Optional	TheiaCoV_ClearLabs, TheiaCoV_FASTA, TheiaCoV_ONT, TheiaCoV_Illumina_PE, TheiaCoV_Illumina_SE, TheiaViral_Illumina_PE, TheiaViral_ONT, VADR_Update	runtime
consensus_qc	docker	String	The Docker container to use for the task	us-docker.pkg.dev/general-theiagen/theiagen/utility:1.1	Optional	TheiaCoV_ClearLabs, TheiaCoV_FASTA, TheiaCoV_ONT, TheiaCoV_Illumina_PE, TheiaCoV_Illumina_SE, TheiaViral_Illumina_PE, TheiaViral_ONT, VADR_Update	docker
consensus_qc	genome_length	Int	Internal component, do not modify		Optional	TheiaCoV_ClearLabs, TheiaCoV_Illumina_SE, VADR_Update	general
consensus_qc	memory	Int	Amount of memory/RAM (in GB) to allocate to the task	2	Optional	TheiaCoV_ClearLabs, TheiaCoV_FASTA, TheiaCoV_ONT, TheiaCoV_Illumina_PE, TheiaCoV_Illumina_SE, TheiaViral_Illumina_PE, TheiaViral_ONT, VADR_Update	runtime
consensus_qc	reference_genome	File	Internal component, do not modify		Optional	VADR_Update	general
core_gene_snp_workflow	align	Boolean	Boolean variable that instructs the workflow to generate core and pangenome alignments if "true". If "false", the workflow will produce only a pangenome summary.	TRUE	Optional	Core_Gene_SNP	general
core_gene_snp_workflow	core_tree	Boolean	Boolean variable that instructs the workflow to create a phylogenetic tree and SNP distance matrix from the core gene alignment. Align must also be set to true.	TRUE	Optional	Core_Gene_SNP	general
core_gene_snp_workflow	data_summary_column_names	String	A comma-separated list of the column names from the sample-level data table for generating a data summary (presence/absence .csv matrix); e.g., "amrfinderplus_amr_genes,amrfinderplus_virulence_genes"		Optional	Core_Gene_SNP	general
core_gene_snp_workflow	data_summary_terra_project	String	The billing project for your current workspace. This can be found after the "#workspaces/" section in the workspace's URL		Optional	Core_Gene_SNP	general
core_gene_snp_workflow	data_summary_terra_table	String	The name of the sample-level Terra data table that will be used for generating a data summary		Optional	Core_Gene_SNP	general
core_gene_snp_workflow	data_summary_terra_workspace	String	The name of the Terra workspace you are in. This can be found at the top of the webpage, or in the URL after the billing project.		Optional	Core_Gene_SNP	general
core_gene_snp_workflow	midpoint_root_tree	Boolean	Boolean variable that will instruct the workflow to reroot the tree at the midpoint	TRUE	Optional	Core_Gene_SNP	general
core_gene_snp_workflow	pan_tree	Boolean	Boolean variable that instructs the workflow to create a phylogenetic tree and SNP distance matrix from the pangenome alignment. Align must also be set to true.	FALSE	Optional	Core_Gene_SNP	general
core_gene_snp_workflow	phandango_coloring	Boolean	Boolean variable that tells the data summary task and the reorder matrix task to include a suffix that enables consistent coloring on Phandango; by default, this suffix is not added. To add this suffix set this variable to true.	FALSE	Optional	Core_Gene_SNP	general
core_gene_snp_workflow	sample_names	Array[String]	Array of sample_ids from the data table used		Optional	Core_Gene_SNP	general
core_iqtree	alrt	Int	Number of replicates to use for the SH-like approximate likelihood ratio test (Minimum recommended= 1000). Follows IQ-TREE "-alrt" option	1000	Optional	Core_Gene_SNP	general
core_iqtree	cpu	Int	Number of CPUs to allocate to the task	4	Optional	Core_Gene_SNP	runtime
core_iqtree	disk_size	Int	Amount of storage (in GB) to allocate to the task	100	Optional	Core_Gene_SNP	runtime
core_iqtree	docker	String	The Docker container to use for the task	us-docker.pkg.dev/general-theiagen/staphb/iqtree:1.6.7	Optional	Core_Gene_SNP	docker
core_iqtree	iqtree_bootstraps	Int	Number of ultrafast bootstrap replicates. Follows IQ-TREE "-bb" option.	1000	Optional	Core_Gene_SNP	general
core_iqtree	iqtree_model	String	Substitution model, frequency type (optional) and rate heterogeneity type (optional) used by IQ-TREE. This string follows the IQ-TREE "-m" option. For comparison to other tools use HKY for Bactopia, GTR+F+I for Grandeur, GTR+G4 for Nullarbor, GTR+G for Dryad	GTR+I+G	Optional	Core_Gene_SNP	general
core_iqtree	iqtree_opts	String	Additional options for IQ-TREE, see <http://www.iqtree.org/doc/Command-Reference>		Optional	Core_Gene_SNP	general
core_iqtree	memory	Int	Amount of memory/RAM (in GB) to allocate to the task	32	Optional	Core_Gene_SNP	runtime
core_ksnp3_shared_snps_task	disk_size	Int	Amount of storage (in GB) to allocate to the task	100	Optional	kSNP3	runtime
core_ksnp4_shared_snps_task	disk_size	Int	Amount of storage (in GB) to allocate to the task	100	Optional	kSNP4	runtime
core_reorder_matrix	cpu	Int	Number of CPUs to allocate to the task	1	Optional	Core_Gene_SNP, kSNP3, kSNP4	runtime
core_reorder_matrix	disk_size	Int	Amount of storage (in GB) to allocate to the task	100	Optional	Core_Gene_SNP, kSNP3, kSNP4	runtime
core_reorder_matrix	docker	String	The Docker container to use for the task	us-docker.pkg.dev/general-theiagen/staphb/mykrobe:0.12.1	Optional	Core_Gene_SNP, kSNP3, kSNP4	docker
core_reorder_matrix	memory	Int	Amount of memory/RAM (in GB) to allocate to the task	2	Optional	Core_Gene_SNP, kSNP3, kSNP4	runtime
core_snp_dists	cpu	Int	Number of CPUs to allocate to the task	1	Optional	Core_Gene_SNP, kSNP3, kSNP4	runtime
core_snp_dists	disk_size	Int	Amount of storage (in GB) to allocate to the task	50	Optional	Core_Gene_SNP, kSNP3, kSNP4	runtime
core_snp_dists	docker	String	The Docker container to use for the task	us-docker.pkg.dev/general-theiagen/staphb/snp-dists:0.8.2	Optional	Core_Gene_SNP, kSNP3, kSNP4	docker
core_snp_dists	memory	Int	Amount of memory/RAM (in GB) to allocate to the task	2	Optional	Core_Gene_SNP, kSNP3, kSNP4	runtime
create_table_from_array	cpu	Int	Number of CPUs to allocate to the task	1	Optional	Dorado_Basecalling	runtime
create_table_from_array	disk_size	Int	Amount of storage (in GB) to allocate to the task	25	Optional	Dorado_Basecalling	runtime
create_table_from_array	docker	String	The Docker container to use for the task	us-docker.pkg.dev/general-theiagen/theiagen/terra-tools:2023-06-21	Optional	Dorado_Basecalling	docker
create_table_from_array	memory	Int	Amount of memory/RAM (in GB) to allocate to the task	2	Optional	Dorado_Basecalling	runtime
create_terra_table	file_ending	String	Use to provide file ending(s) to determine what should be dropped from the filename to determine the name of the sample (see above for more information)		Optional	Create_Terra_Table	general
czgenepi_prep	genbank_accession_column_name	String	The column name where the genbank accession for the sample can be found	genbank_accession	Optional	CZGenEpi_Prep	general
czgenepi_prep	is_private	Boolean	Sets whether sample status is provate, or not	TRUE	Optional	CZGenEpi_Prep	general
czgenepi_prep	organism	String	The organism for data preparation. Options: "mpox" or "sars-cov-2"	sars-cov-2	Optional	CZGenEpi_Prep	general
czgenepi_prep	sequencing_date_column_name	String	The column name where the sample's sequencing data can be found	sequencing_date	Optional	CZGenEpi_Prep	general
czgenepi_wrangling	cpu	Int	Number of CPUs to allocate to the task	1	Optional	CZGenEpi_Prep	runtime
czgenepi_wrangling	disk_size	Int	Amount of storage (in GB) to allocate to the task	100	Optional	CZGenEpi_Prep	runtime
czgenepi_wrangling	docker	String	The Docker container to use for the task	us-docker.pkg.dev/general-theiagen/theiagen/terra-tools:2023-08-08-2	Optional	CZGenEpi_Prep	docker
czgenepi_wrangling	memory	Int	Amount of memory/RAM (in GB) to allocate to the task	8	Optional	CZGenEpi_Prep	runtime
dehost_pe	target_organism	String	Target organism for Kraken2 reporting	Severe acute respiratory syndrome coronavirus 2	Optional	NCBI_Scrub_PE	general
dehost_se	target_organism	String	Target organism for Kraken2 reporting	Severe acute respiratory syndrome coronavirus 2	Optional	NCBI_Scrub_SE	general
digger_denovo	assembler	String	Assembler to use (spades, skesa, megahit)	skesa	Optional	TheiaEuk_Illumina_PE, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE	general
digger_denovo	assembler_options	String	Assembler-specific options that you might choose for the selected assembler		Optional	TheiaEuk_Illumina_PE, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE	general
digger_denovo	bwa_cpu	Int	Number of CPUs to allocate to the task	6	Optional	TheiaEuk_Illumina_PE, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE	runtime
digger_denovo	bwa_disk_size	Int	Amount of storage (in GB) to allocate to the task	100	Optional	TheiaEuk_Illumina_PE, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE	runtime
digger_denovo	bwa_docker	String	The Docker container to use for the task	us-docker.pkg.dev/general-theiagen/staphb/ivar:1.3.1-titan	Optional	TheiaEuk_Illumina_PE, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE	docker
digger_denovo	bwa_memory	Int	Amount of memory/RAM (in GB) to allocate to the task	16	Optional	TheiaEuk_Illumina_PE, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE	runtime
digger_denovo	call_pilon	Boolean	Whether to run Pilon polishing after assembly	FALSE	Optional	TheiaEuk_Illumina_PE, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE	general
digger_denovo	filter_contigs_cpu	Int	Number of CPUs to allocate to the task	1	Optional	TheiaEuk_Illumina_PE, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE	runtime
digger_denovo	filter_contigs_disk_size	Int	Amount of storage (in GB) to allocate to the task	50	Optional	TheiaEuk_Illumina_PE, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE	runtime
digger_denovo	filter_contigs_docker	String	The Docker container to use for the task	us-docker.pkg.dev/general-theiagen/theiagen/shovilter:0.2	Optional	TheiaEuk_Illumina_PE, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE	docker
digger_denovo	filter_contigs_memory	Int	Amount of memory/RAM (in GB) to allocate to the task	8	Optional	TheiaEuk_Illumina_PE, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE	runtime
digger_denovo	filter_contigs_min_coverage	Float	Minimum coverage threshold for contig filtering	2.0	Optional	TheiaEuk_Illumina_PE, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE	general
digger_denovo	filter_contigs_min_length	Int	Minimum length threshold for contig filtering	200	Optional	TheiaProk_Illumina_PE, TheiaProk_Illumina_SE	general
digger_denovo	filter_contigs_skip_coverage_filter	Boolean	Skip filtering contigs based on coverage	FALSE	Optional	TheiaEuk_Illumina_PE, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE	general
digger_denovo	filter_contigs_skip_homopolymer_filter	Boolean	Skip filtering contigs containing homopolymers	FALSE	Optional	TheiaEuk_Illumina_PE, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE	general
digger_denovo	filter_contigs_skip_length_filter	Boolean	Skip filtering contigs based on length	FALSE	Optional	TheiaEuk_Illumina_PE, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE	general
digger_denovo	kmers	String	K-mer sizes for assembly (comma-separated)		Optional	TheiaEuk_Illumina_PE, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE	general
digger_denovo	megahit_cpu	Int	Number of CPUs to allocate to the task	4	Optional	TheiaEuk_Illumina_PE, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE	runtime
digger_denovo	megahit_disk_size	Int	Amount of storage (in GB) to allocate to the task	100	Optional	TheiaEuk_Illumina_PE, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE	runtime
